Review,Score
"Critics are off their rocker, Rotten Tomatoes needs to change who reviews these movies... It's creepy, interesting, well-acted enough, and visually thrilling enough to be regarded much better. Even the storyline was better than I expected. As a sci fi lover the visual aesthetics and setting alone were enough for me to give it 4 stars. The car being thrown at the window scene was one notable moment of incredible filmmaking to me. ",4
There was a good movie in there somewhere. Basically a Wizard of Oz story with pacing issues and boring dialogue. The robots were the best part. Really dragged on with not enough going on until the big battle at the end.  Would have been better with a better director like Spielberg or George Miller.  Millie Bobby Brown is bland. She's no Carrie Fisher. Chris Pratt is played out. They needed to amp up the emotional range. ,2.5
Solid practical and digital effects hold up this predictable but average movie. Despite the basic story it is an enjoyable watch. The movies performers are good but nothing outstanding. It's a solid popcorn flick. Something you can through on and simply enjoy. The 90's nostalgia alone makes it a tone of fun. ,3.5
It was actually quite entertaining. Not sure if it’s because my expectations were low or what. I think 15% from the critics isn’t justified. I’d say it’s more like 50-60%,4
"What it lacks in depth and a substantive backstory, it makes up for in charm, character, and warmth... in spite of its somewhat dreary dystopian story. It plays as a YA Sci-Fi, and delivers on this",3.5
"Fun, Entertaining and lovely Art Direction. The Movie serves its purpose. Millie Bobby Brown  and Chris Pratt are engaging.
In terms of Plot - the inciting incident/call to adventure (from the contextual dream/to the sudden appearance of the Robot/ and how quickly Millie decides to follow it without questioning it too much) it seems a bit compressed - but overall: an Entertaining Movie and a good time following the ride. ",4
"Uninteresting premise, worse execution.",1.5
Can’t understand the critics’ absolute hatred of this movie. It made me feel a range of emotions and had a poignant message about our need for human connection. Amazing cast.,4
"Seems like the star of the movie was special effects.
Story and characters could have been made more 3 dimensional.  I felt very meh after watching this. My expectations were high, too high. I wish I hadn't watched this.  And I'm huge fans of the main cast,  movie just a bad story or very badly directed. I'm sure it could have been better, with better writing and directing.
Was so hoping this would be good.",1
"AMAZING!!! Chris Pratt and Millie Bobby Brown together, are you kidding me?! Great story, acting, CGI and cast! Save yourself some and only read this review and go watch it! ",4.5
A brilliant story of the hatred of men towards those they see inferior all through an adolescent lense.,5
Our family really enjoyed it. Some curse words but besides that it was a simple yet fun enough storyline for everyone to enjoy. Graphics were amazing!,4.5
"Ing.
Personally, I really enjoy the retro-futuristic setting, as it is visually appealing and original. However, I believe the plot, resolution, and central conflict lack depth, which weakens the development of the story. Despite this, the actors delivered outstanding performances, but the overall result fails to stand out, earning a rating of 3/5. Undoubtedly, this work had the potential to offer something far more memorable.
Esp.
""Personalmente, me encanta la ambientación retrofuturista, ya que es visualmente atractiva y original. Sin embargo, considero que la trama, el desenlace y el conflicto central carecen de profundidad, lo que debilita el desarrollo de la historia. A pesar de esto, los actores hicieron un trabajo destacado en sus interpretaciones, pero el resultado general no logra destacarse, mereciendo una calificación de 3/5. Sin duda, es una obra que tenía el potencial de ofrecer algo mucho más memorable.""",3
"I'm not sure why this show has been getting so much hate it's cute, it's sometimes fun, it's insightful and occasionally very dark. And above all it's worth a watch",5
"Great storyline, acting and overall emotion. Acting/genre similar to Guardians of the Galaxy. Would definitely recommend to others.",5
"Rage with the machines.

The Electric State is a 2025 American science fiction action-adventure film produced and directed by Anthony and Joe Russo 🤖 

It’s good 🙂
Worth a watch. 
I’d recommend it if you like this genre 👍🏼

An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",3.5
I loved it. I was drawn in from beginning to end and thought it was masterfully imagined.,5
You could tell the script almost from the beginning. It feels like and empty film and it's sad because It could have been a lot better,2
                          ,5
"This should have been in theaters. I took a half star because it was a bit slow at times, but overall my whole family loved it.",4.5
"Enjoyable with my 9 year old. Probably could have been better as a series, lots of potential for a bigger story and more character development. Feel the movie format didn't serve this concepts potential. ",3
Why some people hate this film so much?!?? it’s good!!!!,5
"I could see the potential this movie had to be something fun and cute to watch with the family, but it really just lacked in the actual story telling aspect to give the full emotional impact they were going for at a lot of times. Like most movies now, it felt like a lot of the attention was just put on the action and graphics of the movie, and not on the actual story. Entertaining watch, but definitely don’t care to watch it again.",3
"I don’t know why all the critics are hating on this film so much. I loved the 90s vibe, relaxed humour and in today’s world of technology, social media and constant distraction, that finding genuine connection with those closest to us, is what matters. Really enjoyed it. The critics need to loosen up a bit, and enjoy it for what it is.",4
"My 9 year old gives it 4 out of 5 :) me probably 1 out of 5 , the 2 being for Millie Bobby brown and Mr Peanut",4
"This was exactly what I expected based topic synonopsis, and my own viewing experiences. It's good enough to be a fun story with more chapters i. The future and serves as a passable showcase for some of the topline talent. Of note, I'm always li d of surprised at the professional viewers reviews. Calm down, these Netflix movies may not all be franchise starters, but they keep us mildly entertained/distracted just fine. Streaming services do not have to specifically condone or challeng any lifestyle or humanistic view. So it's OK if these 
Movies don't end up in the criterion collection. These are popcorn, rose wine, and girls put cookie flicks!",4
Worst movie ever razzie worthy,1
Really nice and cool visuals about a dystopian future. Very entertaining and that is what movies is about,3.5
"I literally got through about 10 minutes and that was only because of the actors. 

Terrible script and Netflix was banking on a bad decision.

There have been so many other quality projects that Netflix could have sunk their teeth into. Instead, they are backing whatever horse that they have with MBB. I'm not sure what their contract is that she's in everyone one of their films, but this was not the way to see it through to fulfillment. 

Netflix truly needs to get back to their roots with other creative means. This was not the way to go. ",0.5
Ok hard one here as i like the actors in this i even liked the bots just did not like script lazy and dull,2.5
"The critics are being way too harsh. This is a good, dumb, fun movie that you can watch with your brain shut off for a couple of hours. Sure there are “messages” and “symbolism” and blah blah blah, but this is watchable without all that nonsense analysis.",4.5
Most of the dicks writing neg reviews have forgotten what it's like to be a teenager and just to enjoy the nonsense.,5
"When you ignore the fact that it's based on a book, it's a really good movie
I was having fun watching it",4.5
"I don’t know why anyone would think it’s a bad movie. Nothing wrong with a little cheese in the dialogue. The visuals were great, the story has a strong base, the casting was good. It was objectively good movie. ",5
"This is another movie where it confirmed to me that the audience score is by far more important to me than the critic score.

Because I watch movies to be entertained. And, while some things can really take me out of the movie, nothing in this movie did.

So it was fun. Robots, characters that I liked enough to want them to succeed, a pleasant arc to the movie, and so on.

I don't know how well it represents the source material, if the topic could ever be done well enough to please a critic, etc., but it was fun. Worth the time.",4
"It is upsetting to learn how much money Netflix put into the film ""The Electric State."" This movie has star power for sure, but it is not enough to save it. The sci-fi premise is not interesting or anything new and the story is just boring. Even when the action scenes were going down, I felt like I was just waiting for it to end. This movie doesn't do justice to the actors involved and it is genuinely frustrating to see talent wasted like this. Overall, it is a boring and forgettable movie with plenty of better alternatives available out there in the robot sci-fi genre, I can't see why anyone would want to sit through this one.",1.5
"The source material leans ""R"", so when the studios decided PG-13 for the movie, then tried so obviously to make it family friendly, it killed the franchise. Hollywood needs to learn that successful films remove all the extra cooks from the kitchen and just let chef do their thing.

How many dimwitted executives must have added their bad input to turn what could have been a show with a large adult following into a lame generic show for nobody in particular.",0.5
"While the 90's retro angle was interesting at first, within 10 minutes it was obvious that this wasn't going to be relevant to the story.  Millie Bobby Brown, a very likable, appealing actress, must have been cast when she was significantly younger since her actual age was distracting, particularly when repeatedly she is referred to as ""kid"".  The bad guy, Ethan Skate,  has a name like a real life genius billionaire who Hollywood loved and now demonizes, all due to politics.  But Tucci is always good.  The b & w video screens as drone faces was very interesting to me.  A creepy effect that worked.  The storyline was too derivative to be unpredictable and entertaining.  Chris Pratt's character gets a haircut in ACT III, but that's the only change he undergoes.  His attitude reversal about helping the ""kid"" was blamed on the haircut, which was the best line in the movie--but it sounds like something Pratt improvised... Like so many movies, the set-up is interesting, but once set-up it's predictable.  Why go to so much trouble and expense for such a tired plot line?  The wildly different, comical robots kept me watching.    ",2.5
"It’s never been so painfully obvious that the directors didn’t even bother glancing at the source material. What should have been a haunting, Robosynthetic Electric Sheep version of The Road ended up as a Frankenstein mess that feels like a bizarre cocktail of The Avengers and Borderlands, but without any of the charm or coherence. Either the Directors are just that out of touch or didn't care and wanted to make their own thing. Both equally damning. ",0.5
"Sometimes I just want to be entertained and escape from the daily grind and this movie did that for me. I initially watched it with no expectations at all since I had already read a couple bad reviews from critics but, I was pleasantly surprised at how much I liked it. It was funny and interesting and I enjoyed the sci fi aspect of the story. ",4.5
"Imagine if someone took a haunting, heartfelt graphic novel about loss, loneliness, and late-stage tech dystopia—and ran it through a Netflix-branded smoothie machine until all that was left was glossy, flavorless goop. That’s The Electric State. What was once a poignant, post-apocalyptic meditation has been sanitized into a 2-hour Super Bowl commercial of special effects and nostalgic ""vibes"". It's all style, zero soul. Corporate sci-fi cosplay at its blandest. If you ever wanted to watch a robot apocalypse brought to you by algorithm-approved melancholy and zero actual commentary—congrats, they made it just for you!",0.5
"While this movie probably won't win any awards, i thoroughly enjoyed it. Its a good sunday afternoon movie. Kids and adults can enjoy, just don't put to much thought into it and go with the flow. The ending was a bit cheesey but other than that, the effects are great and  its worth a couple hours of ur time. Take no notice of the critics, make ur own mind up and give it a go.",4
"Gonna win an oscar?...Nope, but so what. For a 'popcorn' corn movie that the whole family could sit though and enjoy together it hit the mark (and sometimes, that's enough).  ",4
Gawd awful. Chris Pratt playing his standard Chris Pratt character. We lasted about 20 minutes. Netflix paid how much for this?,1
"I thought the trailer looked good, but critic reviews were awful, and the rest of the family didn't want to watch it because of them. I finally managed to get the family to agree to give it a go today, and the consensus is we're so glad I kept pushing! Definitely a combination of elements of Guardians, Enola Holmes, Sweet Tooth, and of course good music! The 2 hours went by so fast. Thoroughly enjoyable and one I'll definitely watch again!",5
"I like this film, it does cover a wide range of viewing audiences, but that is part of its charm. Cinematically beautiful, and cheesy enough to be fun. Most will like it's playful characters who don't take themselves too seriously. Room for improvement yes, totally rubbish NO!",4
"The New York Times got it SO wrong again! Claiming it was horrible. What a surprise! This was a fun movie...a little bit of Guardians of the Galaxy, Enola Holmes, and Raiders of the Lost Ark! Give us more like this Netflix!",5
The film was so predictable that in the first 10 minutes I had figured out the entire plot and lost interest and switched off with 30 minutes left of the film,1.5
"Russo's can't make anything outside of extremely calculated world of Marvel and Netfix seemed to have a one sided feud against Movies theirselves. 
I learned my lesson to not watch anything Mr.Pratt or Miss Brown in it. ",1
This Movie was God awful and is another reminder that Hollywood and Massive Film Companies can only produce Slop.,0.5
"I like sci-fi, robot and weird story, but this is not for me. I dont know why but everything feel unatractive. Nigthmare fuel all, I can really think about it.",1.5
"I loved this movie. It was a great escape with three generations in the living room with popcorn. It’s probably not going to win Academy awards, except for maybe production design, but it was fun and emotional at times. Well worth the watch if you just want to forget your life for a couple of hours.",4
after watching the trailer a few weeks ago i was slightly disappointed with the end product' it wasn't what i expected and was slow to watch. The CGI was amazing but the story lacked soul and the ending was a bit silly. Overall' an entertaining but forgettable movie.  ,2
"I have watched hundreds and hundreds of shows and movies, and I always come to check out reviews on here beforehand. If you name it, I've probably seen it. 

This movie is the first time out of anything and everything I've watched, that I've felt the critics got it wrong. Is it the best movie ever made? No. Did I create an account and post my first review because I enjoyed it? Yes.

Not every movie has to be high art, The Electric State is good, pure, fun. Good on the Russo brothers, Milly Bobby Brown, Chris Pratt and everyone else.",4
"An enjoyable romp with talented actors, that I felt suffered more from the cutting room floor than any lack of storytelling finesse. We get the gist of the plot, but somehow fail to connect with the emotion of the story. Obvious plot-holes also make this movie less enjoyable, as we ask why and how our characters got to such an alternate reality. This movie just felt rushed. ",5
"This Movie is an Instant Classic.  Thanks for making this awesome movie.  I will watch many times in my life, which is more then I can can say for a lot of movies!    I want more movies like this.  Again....  Instant Classic!!!",5
"This movie isn't going to win any academy awards, but it is interesting and entertaining. I think it is worth seeing.",3
"For some reason, two actors who do know how to act suddenly don’t know how to act. I don’t know if it was the monotone script or poor direction, but this was shockingly bad. Kind of a bummer because I expected a lot more than whatever was going on here.",1
"Idk how the audience score is so high, probably because you're all obsessed with Millie Bobby Brown but the movie is so bad lmao ",0.5
"entretenida, buscaron hacer algo diferente.",3.5
"Is it a little cheesy? Yes. Is it a bad movie, as the stiff, totally lacking joy in their lives, “expert” critics seem to think it is? No, absolutely not.",4
"AMAZING MUSIC CHOICES!!!! and the combo of millie bobbie brown and chris pratt was awesome!!!!! this movie made me cry, laugh, sing, dance, yell, feel almost every emotion! it’s DEFINITELY 100% worth the watch!!!",5
"It’s not that bad as some are making out to be. Was it too big of a budget? Yes… was it horrible to watch? No… it was still entertaining. Based (very loosely) on the graphic novel, the look was there, the imagery  and designs of the bots, but the script? Okay, a bit of a typical Hollywood reimagining of the overall story. But that’s usually the case for many “based on” stories. The movie was fine. Stop bitching about it. Like I said, too much money for production, not enough in script development. I’ll say this though… it was way—WAY—better than Zach Snyder’s awful Rebel Moon films. Now that was a waste of money, if we truly want to talk about budgets that should never have happened. ",3
We need to remove critics from the reviews. They’ve been trash their entire existence. Audience has it right per usual solid movie fun to watch ,5
"Based on the critics’ reviews we almost didn’t watch this. We were glad we did! This is actually a great movie. Different, poignant, fun, sad at times, action filled, and with a lot of subtle references poking fun at the world we live in today. All the negative reviews seem to either miss these, treat this as an adult movie - it’s not, it’s a teen movie - or be so up themselves about the “source material” that they can’t let go and enjoy what’s in front of them. Which, ironically, is the message of the whole movie. And the story on which it’s based. Let it go, watch the movie with your kids, enjoy and have fun! I promise you won’t regret it. Seriously, I promise you won’t regret it. ",4
"I don't understand the hate on this. 15%? Yall need to enjoy stuff more. Anyway, Chris Pratt is amazing as always, Millie Bobbie Brown is fantastic, I love the references to Eleven she gets, I love her role with her brother and her dynamic with him as a bot and Chris Pratt's character. (Honestly forgettable name unforgettable character.) I think it's solid, great movie, doesn't deserve the hate.",4
I thought it was a good movie.  I didn't love the ending but otherwise I liked the special effects and the world creation.  The characters were good.  The robot characters were cute and entertaining.  ,4
"I absolutely loves this movie, the hate is forced. It was emotional, funny, and there was more than enough action. I can just recommend ro watch it, one of my favourite movies.",5
It’s a fun movie to watch. The robots were neat. Plot needed some work but the visual effects made up for it ,4
More corporate slop. ,0.5
It’s ah great movie!! I liked it make me cry .. i’m waiting for the two part!!  ,5
"Worth watching if you're in the mood for dumb, obvious, predictable, unoriginal but somehow kind of fun.  If you don't expect much from the start, it's just good enough to be worth the time.  The pacing was good, the special effects were great, and though it didn't excel at anything, it didn't fail badly enough at anything to spoil the romp.  None of the performances were particularly noteworthy, but they all did enough to make the film work.  ",3.5
I enjoyed the movie it was good if your into robot movies ,5
"“The Electric State” may look pretty with its occasional visual flair, but it’s a lifeless, uninspired slog with surprisingly flat performances. A charming concept is wasted on a story that feels as dull as it is directionless. Such a shame – there was real potential here.",1.5
"   This is actually just ready player one but way worst. 





 here’s why Teenage kid with all family, dead, living in a dystopian world where people live in a virtual reality headsets The teenage person‘s only friend is not a human main character has a best friend that is not human and together lead a rebellion against the corrupt organization
There is a big fight at the headquarters of the corruption corrupted place in the end the VR reality headsets get shut down in the big battle. The main leader of the organization puts on a reality headset and goes out as a big robot and steps on a bunch of his own men a tiny doll is thrown at the face and his eyes get stabbed out by another person the antagonist fails and is angry and takes off his headset and walks out of the room, pushing both doors open with both hands and sees a broadcast",2.5
"A fun and entertaining movie, I watched it with my two daughters 10 and 12 who also really enjoyed it. I was pleasantly surprised.",4.5
Don't listen to all the haters. . . This movie is fantastically fun and very enjoyable. . .,5
This movie was incredibly dumb. But good enough for children. ,3
"I'd read the previews a week or so back and felt a little saddened. But just now, myself and my 14 year old son just watched this. It was more than watchable. Nothing groundbreaking...but the acting and effects were good. Soundtrack was pretty neat with some 90s records..some of which played in alternate styles.
You do worse than watch this with the kids on a Saturday night.



",3.5
"Quite a good premise but also predictable, overall a lot better than the critics give it credit for.",3.5
Don't listen to critics ,5
It’s apparent that the “critics” were not watching the same movie as I did. After seeing their low opinion of the movie I figured I would be disappointed. And I was….disappointed that it was surprisingly good entertainment. I think the critics should find a better line of work. ,4.5
Its a fun adventure movie. Really don't understand the low scores,4.5
"This movie is proof critics are not the audience, which is ultimately who these works of art are for. Beautifully acted, an easy watch. Don’t listen to the critics, make up your own mind. ",4.5
"It's not even a terrible movie, oh my days. ",3.5
"The ""plot twist"" is exposed early on but the end result was not what I expected. Overall this is not a bad movie by any stretch of the imagination, it's not great but I'd be happy to watch it again. Acting is good, pacing is perfect, plot felt like an amalgamation of a few things I'd seen before but unique enough that I couldn't name them.

Don't be put off by what feels like a concerted effort to disparage this film.",3.5
